number,description,rgbCode
869,Antique Violet VY LT,11444916
870,Antique Violet LT,8613517
871,Antique Violet Med,5653853
872,Antique Violet Med D,4733262
873,Antique Violet DK,3745090
342,Lavender Ultra VY LT,14726103
108,Lavender VY LT,12816053
109,Lavender LT,11299227
1030,Blue Violet Med,10708853
110,Lavender Med,9259644
111,Lavender DK,7220317
112,Lavender VY DK,5119810
117,Blue Violet VY LT,15057846
118,Blue Violet LT,11367809
119,Blue Violet DK,7485523
941,Cornflower Blue Med,4794661
120,Blue Purple VY LT,15323071
121,Blue Purple LT,9203304
122,Blue Purple Med,5913919
123,Blue Purple DK,3807259
127,Navy Blue VY DK,2752517
939,Blue Grey,8088934
940,Delft DK,6503735
175,Cornflower Blue LT,12820109
176,Cornflower Blue Med,9789283
177,Cornflower Blue DK,6368570
178,Cornflower Blue VY D,5446955
144,Navy Blue Ultra VY L,14269862
136,Delft Med,11043445
137,Delft Med DK,8409926
139,Delft VY DK,5648677
130,Sky Blue,12491397
131,Sky Blue Med,8805715
132,Sky Blue DK,6766134
133,Sky Blue VY DK,5773323
134,Sky Blue Ultra DK,4194304
140,Royal Blue LT,14136473
142,Royal Blue Med,8145452
143,Royal Blue DK,5319702
128,Sky Blue VY LT,16307906
129,Sky Blue LT,14202015
145,Navy Blue VY LT,10781816
146,Navy Blue LT,8410434
147,Navy Blue Med LT,5648416
148,Navy Blue Med,4923406
149,Navy Blue Med DK,5177858
150,Navy Blue DK,4983049
152,Navy Blue Ultra VY D,3211272
1090,Electric Blue LT,14728979
433,Electric Blue Med,16756075
1089,Electric Blue Med,11838729
410,Electric Blue DK,10508317
1037,Blue Ultra VY LT,15394263
1096,Slate Blue lt,14275257
343,Antique Blue LT,13484217
920,Antique Blue Med LT,10062720
921,Antique Blue Med,7496024
922,Antique Blue DK,3879213
1031,Antique Blue Ultra V,15786194
1032,Antique Blue VY LT,14010294
1033,Antique Blue,11442832
1034,Antique Blue Med DK,7560787
1035,Antique Blue VY DK,4601136
1036,Antique Blue Ultra V,4990237
975,Blue VY LT,14077381
976,Blue LT,11245448
977,Blue Med,8612439
978,Blue DK,7034694
979,Blue VY DK,4930093
159,Baby Blue LT,15324336
161,Baby Blue DK,10256727
162,Baby Blue VY DK,7558694
164,Baby Blue Ultra VY D,4928786
160,Baby Blue,14862495
9159,Baby Blue VY LT,16773576
1038,Baby Blue Med,13152393
1039,Baby Blue Med DK,11572068
158,Baby Blue Ultra VY L,16118737
928,Blue Green VY LT,15129260
167,Blue Green LT,13286792
168,Blue Green Med,9405791
169,Blue Green DK,5852973
170,Blue Green VY DK,4734230
1060,Teal UL LT,15393723
1062,Teal LT,13616008
1064,Teal LT,11707227
1066,Teal Med,8022817
1068,Teal,6312716
847,Grey Blue Ultra VY L,13026232
274,Grey Blue VY LT,11907751
848,Grey Blue LT,10396316
849,Grey Blue Med,8487807
850,Grey Blue DK,7630176
779,Grey Blue VY DK,6836801
851,Grey Blue Ultra VY D,5324851
1092,Sea Green vy lt,14804658
185,Turquoise VY LT,12702094
186,Turquoise LT,10728809
187,Turquoise Med,7899958
188,Turquoise DK,5464612
189,Turquoise VY DK,3949606
1070,Jade LT,11849603
1072,Jade Med LT,8892235
1074,Jade Med,10135621
1076,Jade,8096044
1042,Sea Foam Green VY LT,14086359
875,Sea Foam Green LT,10925204
876,Sea Foam Green Med,6779224
877,Sea Foam Green DK,4873012
878,Sea Foam Green VY DK,3161371
879,Sea Foam Green Ultra,2634777
213,Misty Green Ultra VY,11978693
214,Misty Green VY LT,10204054
215,Misty Green LT,5929811
216,Misty Green Med,4218170
217,Misty Green DK,3951662
218,Misty Green VY DK,3030306
683,Misty Green Ultra VY,2567967
858,Fern Green VY LT,11651516
859,Fern Green LT,6520175
860,Fern Green Med,4676432
